feature,mean_abs_shap
log_rend_medio_pais_cultivo,0.4035064789273493
cultivo_Caña de azúcar,0.2604389862606445
cultivo_Café,0.041744466228991174
log_superficie,0.03279224194858442
cultivo_Maíz,0.016933279775961207
tendencia_5_anios,0.009667254237513863
fertilizantes_kg_ha,0.007482575985808333
agua_riego_m3_ha,0.005909146183859232
cultivo_Arroz,0.004113840258110261
cultivo_Girasol,0.004034304189873747
dias_con_heladas,0.0037459421914176104
cultivo_Té,0.003606227998668312
meses_estres_hidrico,0.0032569753023917853
indice_aridez,0.003163950680610932
anio,0.0030643014660067867
cultivo_Algodón,0.002902460994674488
humedad_relativa_promedio,0.0028009383985204074
cultivo_Soja,0.0026407379914473407
precipitacion_total,0.00263866697957346
temperatura_minima,0.002485945126282518
temperatura_maxima,0.0023815182669006023
temperatura_promedio,0.002157743019977306
cultivo_Trigo,0.0014161351965943174
cultivo_Cebada,0.001312872672549146
n_eventos_total_regiones,0.0009459610763279798
ev_helada_tardia,0.0007352497235041729
flag_anio_eventos_extremos,0.0005470843022876495
ev_sequia_severa,0.000475014636470912
ev_sequia_extrema,0.0004650368152219281
reg_reservas_legales,0.00038862175322782036
reg_etanol_mezcla,0.000360285314744926
ev_ola_calor,0.00035973137139271147
acuerdo_Acuerdo_Mercosur,0.0003428574652680197
reg_rotacion_cultivos,0.0003423114886334922
acuerdo_Convenio_Biodiversidad,0.00032904285055736845
acuerdo_Protocolo_Kyoto,0.0003126833331822349
ev_tormenta_severa,0.00031245600973000876
reg_pesticidas_neonicotinoides,0.00030828138797023914
tiene_subsidio_activo,0.00030341561805454756
ev_sequia_moderada,0.0002904298007819164
reg_uso_agua,0.00025167250948425864
ev_inundacion,0.00023448407836386873
ev_incendios,0.00015148361051596352
ev_granizo,0.00013798907503812156
acuerdo_TLCAN,0.00013613284591304376
reg_emisiones_ganaderas,9.793477514498012e-05
acuerdo_ODS_2030,7.707462182197465e-05
reg_deforestacion,4.3292270671703636e-05
objetivo_reduccion_emisiones_pct,2.9239078121955786e-05
acuerdo_Acuerdo_Paris,2.3918968781414357e-05
reg_bienestar_animal,0.0
